"Steps","Calories","Active_Minutes","Floors_Climbed","Hours_Slept","Times_Awake","Day_Monday","Day_Saturday","Day_Sunday","Day_Thursday","Day_Tuesday","Day_Wednesday"
3217,2154,5,7,9.07,7,0,0,0,0,1,0
3575,2142,9,11,8.03,12,0,0,0,0,0,1
4247,2125,10,11,6.93,10,0,0,0,1,0,0
12039,2541,33,11,7.72,4,0,0,0,0,0,0
6286,2566,9,8,6.05,4,1,0,0,0,0,0
3870,2185,8,9,8.68,9,0,0,0,0,1,0
8878,2376,5,13,7.43,5,0,0,0,0,0,1
8170,2409,7,7,6.67,10,1,0,0,0,0,0
7484,2516,33,8,8.4,7,0,0,0,0,1,0
8378,2561,21,8,7.4,6,0,0,0,0,0,0
20849,3106,52,23,7.22,9,0,1,0,0,0,0
8795,2670,30,7,7.18,13,0,0,1,0,0,0
4037,2220,5,10,7.33,1,0,0,0,0,1,0
8421,2562,39,5,9.02,11,0,0,0,0,0,1
6280,2456,13,10,7.5,13,0,0,0,1,0,0
6727,2436,7,9,6.43,7,0,0,0,0,0,0
9728,2634,25,0,7.6,6,0,1,0,0,0,0
5050,2353,11,2,8.3,7,0,0,1,0,0,0
7504,2572,12,4,6.37,15,1,0,0,0,0,0
7490,2475,20,5,7.35,10,0,0,0,0,1,0
11012,2589,33,26,8.07,10,0,0,0,1,0,0
11611,2744,44,12,7.33,9,0,0,0,0,0,0
12436,3039,47,1,7.37,7,0,0,1,0,0,0
9848,2524,42,17,7.97,4,0,0,0,0,1,0
8265,2310,14,17,8.73,7,0,0,0,0,0,1
16403,2774,39,14,7.7,4,0,1,0,0,0,0
6654,2279,0,2,8.2,9,0,0,1,0,0,0
10107,2575,24,1,7.35,7,1,0,0,0,0,0
6683,2323,12,10,6.68,2,0,0,0,0,1,0
3279,2143,5,4,6.48,4,0,0,0,0,0,1
10261,2402,16,7,6.83,9,0,0,0,0,0,0
10417,2639,22,4,7.52,6,0,1,0,0,0,0
12280,2702,27,7,8.93,9,0,0,1,0,0,0
3949,2290,6,1,6.53,14,1,0,0,0,0,0
7615,2336,13,12,7.28,10,0,0,0,0,1,0
4537,2342,9,8,7.07,10,0,0,0,0,0,1
4693,2224,9,8,8.47,10,0,0,0,1,0,0
7450,2383,5,4,8.98,3,0,0,0,0,0,0
8087,2478,13,6,7.63,4,0,0,1,0,0,0
8066,2440,10,10,7.32,10,1,0,0,0,0,0
8440,2424,24,9,7.82,1,0,0,0,0,1,0
6371,2361,12,10,8,13,0,0,0,1,0,0
7724,2406,13,12,7.5,8,0,0,0,0,0,0
7765,2593,21,7,7.63,8,0,1,0,0,0,0
13179,2697,38,18,8.72,3,0,0,1,0,0,0
4235,2172,8,6,6.72,10,1,0,0,0,0,0
6385,2261,6,22,8.28,8,0,0,0,0,1,0
9498,2521,8,5,7.02,9,0,0,0,0,0,1
4913,2308,12,8,7.22,7,0,0,0,1,0,0
12316,2712,36,13,6.78,7,0,0,0,0,0,0
11243,2550,25,6,6.05,4,0,1,0,0,0,0
4396,2140,9,7,7.05,13,1,0,0,0,0,0
3470,2614,6,7,8.93,7,0,0,0,0,1,0
5887,2238,12,10,8.7,7,0,0,0,1,0,0
5801,2237,6,20,9.2,8,0,0,1,0,0,0
13230,2734,26,9,7.78,3,1,0,0,0,0,0
5897,2201,5,8,6.97,9,0,0,0,0,1,0
11665,2654,17,12,6.42,4,0,0,0,0,0,1
4629,2137,7,7,7.77,4,0,0,0,0,0,0
7024,2346,5,5,8.55,6,0,1,0,0,0,0
7770,2254,11,9,8.05,6,1,0,0,0,0,0
2147,2614,6,6,8.17,7,0,0,0,0,1,0
6705,2208,11,7,8.6,9,0,0,0,1,0,0
16285,2860,55,9,7.22,9,0,1,0,0,0,0
4540,2164,14,9,8.73,15,1,0,0,0,0,0
8089,2298,23,10,7.46,9,0,0,0,0,1,0
8718,2512,28,14,8.2,0,0,0,0,0,0,1
9285,2487,29,9,8.92,15,0,0,0,0,0,0
17774,2999,35,13,7.08,4,0,1,0,0,0,0
10096,2515,32,7,7.37,4,0,0,1,0,0,0
5730,2237,11,8,7.3,5,1,0,0,0,0,0
7971,2374,22,14,7.28,5,0,0,0,0,1,0
8163,2419,2,4,8.73,12,0,0,0,1,0,0
15402,2987,28,56,6.33,9,0,0,0,0,0,0
12918,3194,10,20,6.93,6,0,1,0,0,0,0
5205,2311,18,4,7.73,8,1,0,0,0,0,0
4307,2188,8,4,7.37,7,0,0,0,0,1,0
7376,2322,14,5,8.17,8,0,0,0,1,0,0
13178,2682,29,54,7.73,6,0,0,0,0,0,0
23524,3541,85,174,10.25,7,0,1,0,0,0,0
30054,3526,125,129,7.22,17,0,0,1,0,0,0
5535,2222,17,6,9.03,9,0,0,0,0,0,1
5155,2189,12,7,7.53,10,0,0,0,1,0,0
5416,2296,18,7,6.98,2,0,0,0,0,0,0
4188,2209,12,3,7.58,3,0,1,0,0,0,0
5962,2463,2,0,6.87,7,0,0,1,0,0,0
7042,2200,6,5,6.7,1,1,0,0,0,0,0
4135,2175,8,7,8.35,4,0,0,0,0,1,0
5816,2238,13,7,6.78,9,0,0,0,1,0,0
6790,2327,22,6,6.27,9,0,0,0,0,0,0
2776,2103,5,3,6.68,10,0,1,0,0,0,0
4952,2182,0,0,7.38,4,0,0,1,0,0,0
3898,2125,11,4,7.46,9,1,0,0,0,0,0
4735,2383,13,5,8.77,11,0,0,0,0,1,0
6391,2390,0,1,8.32,2,0,0,0,0,0,1
8709,2399,0,8,4.22,1,0,0,0,0,0,0
6653,2474,1,10,4.22,1,0,1,0,0,0,0
3509,2304,5,5,6.68,8,0,0,1,0,0,0
5292,2117,10,5,8.6,8,0,0,0,0,1,0
9342,2493,34,16,7.77,3,0,0,0,0,0,1
8691,2463,33,18,7.5,8,0,0,0,0,0,0
4589,2176,12,3,7.43,4,0,1,0,0,0,0
14490,2951,46,12,9.02,18,0,0,1,0,0,0
3507,2108,8,4,7.17,7,0,0,0,0,1,0
11165,2685,37,9,7.73,8,0,0,0,0,0,1
6862,2344,13,6,7.82,9,0,0,0,1,0,0
11045,2508,21,13,7.28,4,0,0,0,0,0,0
14904,2816,23,11,8.05,7,0,0,1,0,0,0
